lfdn;age;sex;v_3;education;relation;kldb;e1;a1r;c1;n1;o1;e2r;a2;c2r;n2r;o2;e3;a3r;c3;n3;o3;e4;a4;c4r;n4;o4;e5r;a5;c5r;n5r;o5;e6;a6r;c6;n6;o6;e7r;a7;c7;n7r;o7r;e8;a8r;c8;n8;o8;o9r;a9;c9r;o10;status;charisma;classes;a1;e2;c2;n2;a3;c4;e5;c5;n5;a6;e7;n7;o7;a8;o9;c9;extr_mean;open_mean;con_mean;agree_mean;neuro_mean
180;31;2;-99;5;7;8;4;2;2;1;5;3;4;3;3;3;3;2;4;3;3;3;4;3;4;5;2;4;4;3;5;4;3;3;3;3;3;4;4;4;4;2;1;3;3;5;4;4;3;3;1;14;2;4;3;3;3;4;3;4;2;3;3;3;2;2;5;2;3;3,25;3,6;3;4;2,75
181;24;2;-99;4;7;9;3;3;5;5;4;5;5;4;1;5;2;1;5;3;4;4;5;1;5;1;5;5;2;1;4;2;1;4;5;5;5;5;3;4;5;1;2;3;4;4;5;3;5;5;1;10;6;3;1;2;5;5;5;1;4;5;5;1;2;1;4;1;1;1,875;3,4;3,55555555555556;4,44444444444444;4,25
182;33;2;-99;4;7;9;4;1;5;1;5;1;5;1;4;5;5;1;5;4;4;5;5;3;2;5;1;5;2;4;5;5;1;4;2;4;1;5;5;5;3;5;2;4;1;5;4;5;3;3;1;11;4;5;5;5;2;5;3;5;4;2;5;5;1;3;4;2;3;4,875;4,1;4,22222222222222;4,88888888888889;1,875
184;41;1;-99;5;3;4;5;2;3;4;4;2;5;4;2;5;2;1;4;3;4;3;5;4;4;5;1;4;4;2;3;3;1;2;3;2;2;4;4;2;4;5;2;4;4;5;2;5;4;3;1;14;1;4;4;2;4;5;2;5;2;4;5;4;4;2;4;4;2;3,875;3,7;2,77777777777778;4,55555555555556;3,75
188;31;1;-99;2;7;2;2;3;3;1;4;3;3;4;5;2;2;2;4;4;4;5;5;5;1;5;4;4;4;5;4;3;2;3;2;2;3;5;3;4;2;3;2;2;4;5;1;3;3;5;1;11;5;3;3;2;1;4;1;2;2;1;4;3;2;4;4;5;3;2,875;4;2,55555555555556;3,88888888888889;2
191;31;1;-99;4;7;0;5;4;3;3;5;2;4;5;4;5;2;2;4;4;5;5;4;4;3;5;2;4;5;4;4;4;1;3;5;4;2;5;2;2;2;3;4;1;3;5;4;5;4;4;1;15;4;2;4;1;2;4;2;4;1;2;5;4;4;4;2;2;2;3,875;4,3;2,11111111111111;3,88888888888889;3,25
192;34;1;-99;4;3;8;5;5;5;1;5;4;2;2;2;4;5;4;5;5;2;4;3;2;4;5;1;5;4;2;5;5;2;5;4;5;2;4;2;4;2;4;2;4;2;5;2;4;3;4;1;12;1;1;2;4;4;2;4;5;2;4;4;4;2;4;4;4;3;4,25;4,3;3,77777777777778;3,22222222222222;3,25
193;23;2;-99;2;2;6;5;2;5;3;5;1;5;2;3;5;3;3;5;2;1;3;1;5;4;5;3;5;5;2;3;3;4;4;5;3;4;4;4;4;5;2;2;4;2;4;4;4;5;2;1;4;1;4;5;4;3;3;1;3;1;4;2;2;2;1;4;2;1;3,25;3,1;3,22222222222222;3,55555555555556;3,125
194;27;2;-99;5;1;7;5;4;3;4;4;4;4;4;2;4;4;2;4;4;3;4;4;2;4;4;4;5;4;2;3;5;2;4;4;4;4;4;3;2;4;2;2;4;2;4;4;4;4;2;1;8;5;2;2;2;4;4;4;2;2;4;4;2;4;2;4;2;2;3,25;3,2;3,11111111111111;3,88888888888889;3,75
196;23;1;-99;4;2;4;4;2;4;4;5;4;5;4;2;5;3;2;4;4;5;2;5;1;2;5;4;4;5;4;4;2;4;2;2;5;5;2;4;4;3;2;1;3;4;5;1;5;5;4;1;10;3;4;2;2;4;4;5;2;1;2;2;1;2;3;5;5;1;2,25;4,6;2,88888888888889;4;3
197;38;2;-99;5;3;7;5;4;4;4;2;4;4;3;3;3;2;2;5;4;4;2;5;4;5;5;5;4;5;3;2;3;4;3;5;5;5;4;3;5;3;2;4;2;4;4;4;5;3;5;1;16;1;2;2;3;3;4;2;1;1;3;2;1;1;3;2;2;3;2,25;3,5;2,88888888888889;3,55555555555556;3,625
199;19;2;-99;2;1;0;5;2;4;2;4;2;5;4;2;5;5;1;4;4;5;5;4;5;2;5;1;4;4;3;4;4;2;2;4;5;2;5;4;5;2;4;1;4;4;5;2;5;5;4;1;12;3;4;4;2;4;5;1;5;2;3;4;4;1;4;5;4;1;4,5;4,5;2,66666666666667;4,55555555555556;3
200;17;1;-99;1;1;0;2;4;5;2;5;4;2;5;5;5;5;2;5;4;5;2;5;4;2;5;5;5;5;4;5;4;5;2;4;5;4;4;5;5;2;4;4;1;2;5;1;2;5;3;2;-77;-77;2;2;1;1;4;2;1;1;2;1;2;1;4;2;5;1;2,75;4,7;2,55555555555556;3;2,25
201;24;1;-99;4;7;6;3;4;4;2;4;1;5;4;4;5;2;1;4;3;5;4;4;5;2;4;3;5;5;5;4;4;4;3;1;5;1;5;4;4;1;4;4;3;2;4;2;4;5;5;1;1;3;2;5;2;2;5;1;3;1;1;2;5;2;5;2;4;1;3,75;4,5;2,55555555555556;3,77777777777778;1,875
202;32;2;-99;4;7;7;5;2;4;2;4;2;4;3;2;2;1;1;4;2;3;4;1;1;5;5;2;2;4;2;3;3;2;3;5;3;4;5;2;2;2;4;3;4;2;5;5;4;4;3;1;18;2;4;4;3;4;5;5;4;2;4;4;2;4;4;3;1;2;3,375;3,3;3,22222222222222;3,55555555555556;3,5
203;42;1;-99;5;3;9;4;4;2;3;4;4;5;3;2;4;4;2;4;4;4;4;4;4;4;5;4;5;4;3;4;4;4;4;4;4;4;5;3;3;4;5;3;3;2;4;1;4;4;5;1;12;4;2;2;3;4;4;2;2;2;3;2;2;3;2;3;5;2;3,375;4,1;2,77777777777778;3,77777777777778;3,375
204;35;1;-99;4;3;6;2;4;5;1;5;3;1;3;5;5;4;4;4;2;5;2;5;4;1;4;4;3;2;5;5;5;4;4;1;2;3;4;5;5;4;3;4;2;4;5;1;4;5;5;1;8;3;2;3;3;1;2;2;2;4;1;2;3;1;2;2;5;1;3;4,3;3,33333333333333;2,77777777777778;1,5
205;47;1;-99;2;1;7;4;1;5;1;4;3;0;4;3;4;4;1;5;3;3;4;4;1;3;5;4;4;1;5;3;5;4;5;4;3;4;4;5;5;5;4;2;4;3;4;4;5;4;1;1;13;2;5;3;2;3;5;5;2;5;1;2;2;1;1;4;2;2;3,5;3;4,22222222222222;3,66666666666667;2,375
206;26;4;Apache-Kampfhubschrauber;4;7;0;2;4;4;1;4;3;3;4;4;5;4;1;4;3;5;4;4;3;2;5;3;5;5;5;5;3;4;4;4;4;4;3;4;4;3;2;5;4;3;4;4;4;4;3;1;9;6;2;3;2;2;5;3;3;1;1;2;2;2;3;1;2;2;2,875;4;3,11111111111111;3,22222222222222;2,25
208;22;1;-99;2;1;0;2;2;3;1;4;5;3;4;3;4;4;1;3;3;4;1;5;3;4;4;4;4;5;3;4;1;4;2;3;5;5;4;3;3;4;2;2;5;5;4;1;2;4;3;1;7;4;4;1;2;3;5;3;2;1;3;2;1;3;2;4;5;2;1,75;3,9;2,66666666666667;3,66666666666667;3,125
209;28;2;-99;2;7;4;4;1;4;1;3;1;5;4;4;5;2;1;4;4;4;4;5;5;1;3;2;5;1;2;4;3;1;2;2;4;4;5;4;4;1;4;2;4;2;5;2;5;5;3;1;14;1;5;5;2;2;5;1;4;5;4;5;2;2;5;4;4;1;3,5;4;3;4,88888888888889;2,25
211;26;1;-99;2;7;0;4;3;4;1;4;3;4;4;2;3;4;1;4;3;2;4;5;4;2;4;3;4;5;4;3;3;4;4;4;4;2;3;4;3;4;4;4;3;2;3;2;4;5;2;1;16;1;3;3;2;4;5;2;3;1;2;2;4;3;2;2;4;1;3,625;3,1;2,77777777777778;3,55555555555556;2,625
212;28;2;-99;5;7;9;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;2;3;2;5;5;4;2;2;2;2;2;1;4;3;4;4;4;4;4;3;3;1;4;3;5;4;4;4;4;2;-77;-77;2;2;2;2;3;4;2;4;4;5;2;2;3;5;2;2;2,625;3,7;3,55555555555556;3,55555555555556;3,25
213;32;1;-99;4;1;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;14;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3,5;4,2;3,22222222222222;3,22222222222222;3,5
214;27;1;-99;6;7;4;4;5;4;5;4;3;5;4;1;4;3;1;4;4;4;4;5;4;5;4;2;5;3;2;4;4;2;2;4;4;4;5;4;4;2;4;1;4;4;5;1;5;5;5;1;12;1;1;3;2;5;5;2;4;3;4;4;2;2;4;5;5;1;3,5;4,3;2,88888888888889;4,44444444444444;4,125
215;24;2;-99;3;7;0;5;4;4;2;3;5;5;4;1;5;5;1;5;4;5;4;2;5;5;5;2;4;5;4;2;4;1;5;4;5;5;5;1;4;1;4;4;5;5;5;2;4;5;5;1;16;1;2;1;2;5;5;1;4;1;2;5;1;2;5;2;4;1;3,5;4,4;2,77777777777778;3,77777777777778;3,625
216;24;2;-99;2;1;8;2;3;5;4;2;3;3;4;1;5;2;1;4;4;5;2;4;5;5;2;4;4;5;1;2;4;4;3;3;5;5;4;4;5;5;1;4;2;4;3;3;4;4;1;1;10;3;3;3;2;5;5;1;2;1;5;2;1;1;1;2;3;2;2,125;2,9;2,66666666666667;3,44444444444444;3,875
217;42;2;-99;5;3;8;5;3;5;1;5;4;5;2;4;5;5;2;5;3;5;5;5;4;3;5;1;4;4;3;5;4;2;4;3;5;1;5;4;3;2;5;3;4;4;5;1;5;3;5;1;12;6;3;2;4;2;4;2;5;2;3;4;5;3;4;3;5;3;4,5;4,9;3,66666666666667;4,22222222222222;2,75
220;25;1;-99;4;2;4;4;4;5;1;4;3;5;4;5;4;2;1;5;4;4;4;5;5;1;5;4;5;5;5;4;4;4;2;1;5;4;5;5;4;4;4;1;2;1;3;4;2;4;4;1;12;2;2;3;2;1;5;1;2;1;1;2;2;2;2;5;2;2;3,125;3,7;2,77777777777778;4;1,5
219;19;2;-99;2;7;4;4;2;5;4;4;4;5;2;2;5;3;2;5;3;4;4;5;3;5;3;5;5;2;2;4;1;2;4;3;4;5;5;5;4;4;2;1;4;5;4;3;3;4;4;1;3;4;4;2;4;4;4;3;1;4;4;4;1;2;2;5;3;2;2,25;3,7;4;4,44444444444444;3,75
221;27;2;-99;4;7;4;4;4;5;4;5;3;5;2;2;5;5;4;5;5;5;5;3;1;5;5;3;1;1;2;5;5;5;4;5;5;3;1;5;2;5;4;4;4;2;5;3;4;3;4;1;11;4;2;3;4;4;2;5;3;5;4;1;3;4;1;2;3;3;4;4,3;4,44444444444444;2,33333333333333;4,125
223;28;2;-99;6;1;4;5;2;5;3;4;2;5;1;4;5;5;1;5;4;5;5;5;1;2;5;2;4;2;2;5;4;3;5;4;5;2;5;5;4;1;5;3;5;2;5;1;5;4;4;1;12;1;4;4;5;2;5;5;4;4;4;3;4;2;5;3;5;2;4,5;4,8;4,55555555555556;4,33333333333333;2,875
224;20;2;-99;2;2;6;5;4;5;4;5;4;4;5;1;5;4;4;5;4;5;5;4;2;5;5;2;2;2;1;4;4;4;4;5;4;4;5;4;2;1;4;4;4;4;5;4;4;4;4;1;10;1;2;2;1;5;2;4;4;4;5;2;2;4;5;2;2;2;3,75;4,4;3,66666666666667;3;4,5
225;26;3;-99;5;7;4;1;2;4;1;5;5;4;3;3;5;3;1;4;2;4;5;5;3;2;5;5;4;3;3;4;4;3;3;3;5;5;4;4;4;3;1;2;3;3;5;1;3;5;4;1;5;4;4;1;3;3;5;3;1;3;3;3;1;2;3;4;5;1;2,125;4,5;3,11111111111111;4;2,375
226;49;1;-99;5;3;2;5;2;4;2;5;4;3;2;3;4;3;3;5;4;5;5;4;1;3;5;4;2;4;2;4;2;4;3;4;4;1;4;5;3;1;2;2;4;3;5;3;3;3;2;1;10;5;4;2;4;3;3;5;2;2;4;2;5;3;5;4;3;3;3,25;4,2;3,88888888888889;3,22222222222222;3,25
227;23;2;-99;2;1;9;1;2;2;5;4;5;3;2;2;4;1;2;1;4;3;1;5;5;4;5;5;2;5;4;4;1;5;2;5;5;5;4;1;4;2;1;4;2;5;5;2;4;4;4;1;4;1;4;1;4;4;4;1;1;1;2;1;1;2;4;2;4;2;1;4,2;1,77777777777778;3,22222222222222;3,875
230;26;1;-99;3;7;2;5;3;5;4;5;4;4;3;4;4;3;3;5;4;4;3;1;4;5;5;3;4;5;1;5;3;3;3;5;5;4;2;5;3;2;2;2;2;4;4;5;5;4;4;1;14;4;3;2;3;2;3;2;3;1;5;3;2;3;4;4;1;2;2,875;4,1;3,11111111111111;3,22222222222222;4
228;22;3;-99;4;1;0;4;3;4;5;0;2;4;4;3;5;4;3;5;3;4;5;3;4;5;5;2;4;3;3;5;3;3;4;2;5;4;4;4;4;2;3;1;3;4;5;5;4;5;5;1;12;1;3;4;2;3;3;2;4;3;3;3;2;2;4;5;1;1;3,625;3,9;3,11111111111111;3,66666666666667;3,375
229;20;2;-99;2;2;0;3;4;4;4;5;2;4;2;1;5;3;1;4;4;4;3;4;3;5;5;5;5;3;2;5;3;2;4;5;5;5;5;4;2;2;1;2;3;5;3;5;4;3;5;1;15;1;2;4;4;5;5;3;1;3;4;4;1;4;4;4;1;3;2,375;4,2;3,55555555555556;4,11111111111111;4,5
231;40;2;-99;3;3;8;4;3;4;3;4;3;5;3;2;5;3;2;5;4;3;4;4;4;5;5;2;5;2;1;4;2;3;4;4;4;4;5;4;3;4;4;2;4;5;4;3;5;4;3;1;12;3;3;3;3;4;4;2;4;4;5;3;2;3;2;4;3;2;3,25;3,7;3,55555555555556;4,22222222222222;4,125
232;23;1;-99;4;1;0;1;4;3;5;3;5;4;2;3;3;2;1;4;4;4;1;3;2;5;4;5;3;2;1;3;1;4;4;5;3;5;3;4;2;3;1;1;4;4;3;3;3;2;3;2;-77;-77;2;1;4;3;5;4;1;4;5;2;1;4;3;5;3;4;1,125;3,2;3,88888888888889;3,33333333333333;4,375
236;35;1;-99;6;3;4;4;3;5;3;2;4;4;2;2;4;3;1;5;4;4;3;4;3;4;2;4;4;4;3;3;3;2;4;4;4;4;4;3;3;3;3;4;4;3;3;3;4;4;2;1;11;1;3;2;4;4;5;3;2;2;3;4;2;3;3;2;3;2;2,75;3;3,55555555555556;3,77777777777778;3,5
237;26;1;-99;4;2;4;4;4;5;4;4;5;4;5;2;2;3;2;2;5;4;4;1;5;5;4;4;2;5;4;4;5;4;3;4;5;2;4;3;2;4;2;4;4;5;5;4;4;4;2;1;13;1;2;1;1;4;4;1;2;1;2;2;4;4;2;2;2;2;3,125;3,4;2,44444444444444;2,77777777777778;4,125
238;21;1;-99;4;1;0;4;1;4;1;5;4;5;5;5;5;5;1;4;1;5;5;5;5;1;4;4;5;4;5;5;4;1;5;1;5;4;5;4;4;3;4;1;5;1;5;1;5;3;4;1;12;6;5;2;1;1;5;1;2;2;1;5;2;2;3;5;5;3;3,5;4,6;3,22222222222222;5;1,125
239;39;1;-99;5;3;10;4;2;2;1;3;1;5;4;5;4;3;4;4;4;4;3;2;2;2;5;1;5;5;5;2;4;1;4;2;4;1;4;4;5;2;5;5;5;2;5;2;5;4;4;1;13;4;4;5;2;1;2;4;5;1;1;5;5;1;4;1;4;2;4,25;3,9;3,11111111111111;3,66666666666667;1,75
240;21;1;-99;4;1;0;4;4;5;1;4;5;3;2;4;5;4;1;5;5;4;3;4;1;4;5;4;5;4;5;4;2;3;5;2;3;4;4;4;2;5;2;4;5;5;4;4;3;4;4;1;9;2;2;1;4;2;5;5;2;2;1;3;2;4;1;2;2;2;2,5;3,6;4,11111111111111;3,44444444444444;3
241;30;1;-99;3;1;6;4;2;3;5;4;3;5;5;1;5;1;2;1;5;3;4;4;5;5;5;2;4;4;1;4;2;3;2;4;5;4;4;2;2;4;3;2;1;5;3;3;4;5;4;1;10;6;4;3;1;5;4;1;4;2;5;3;2;4;2;4;3;1;2,875;3,8;1,55555555555556;4;4,75
242;18;1;-99;1;1;6;3;4;5;4;5;2;4;5;2;5;3;4;5;5;5;5;5;4;4;5;2;4;2;4;5;5;5;5;4;5;2;3;3;4;5;5;5;5;1;5;3;5;5;5;1;10;4;2;4;1;4;2;2;4;4;2;1;4;2;1;1;3;1;4,125;4,4;3,44444444444444;3;3,25
244;25;1;-99;4;1;7;2;4;3;5;4;4;4;4;2;4;2;2;4;4;4;2;4;2;4;4;4;4;4;2;4;2;2;2;4;5;3;4;4;3;4;2;1;4;4;4;2;4;4;5;1;12;6;2;2;2;4;4;4;2;2;4;4;3;3;2;5;4;2;2,125;4;3;3,88888888888889;4
245;21;2;-99;2;7;0;1;4;3;5;4;5;3;5;1;5;3;2;4;5;5;1;1;4;5;4;5;1;2;1;3;1;5;4;5;5;5;4;4;1;3;1;3;3;5;4;1;2;4;5;2;-77;-77;2;1;1;5;4;2;1;4;5;1;1;5;3;3;5;2;1,25;4,3;3;2,33333333333333;5
246;37;1;-99;5;1;8;4;1;5;1;5;2;4;4;5;5;5;1;5;1;5;5;4;2;4;5;3;5;1;4;5;3;3;5;3;5;3;5;5;5;3;4;2;5;2;5;1;5;2;5;1;12;3;5;4;2;1;5;4;3;5;2;3;3;1;3;4;5;4;3,875;4,8;4,44444444444444;4,44444444444444;1,875
247;32;2;-99;4;1;6;5;2;3;2;5;2;4;4;2;5;4;4;4;4;5;5;2;1;5;5;2;4;4;2;4;3;4;2;4;5;4;4;5;2;2;4;4;4;5;5;4;4;5;4;1;17;2;4;4;2;4;2;5;4;2;4;2;2;4;4;2;2;1;3,875;4,4;3,11111111111111;3,11111111111111;4
248;27;2;-99;2;3;6;4;2;4;1;3;4;4;3;5;4;4;1;5;1;3;4;4;5;1;3;2;5;3;4;2;2;2;3;2;4;4;4;4;5;2;4;2;4;2;4;2;4;5;1;1;1;4;4;2;3;1;5;1;4;3;2;4;2;1;4;4;4;1;3,25;3,2;3,11111111111111;4,22222222222222;1,375
249;42;1;-99;4;3;8;2;4;2;5;3;4;4;4;4;4;2;1;4;2;4;4;4;5;3;5;4;4;5;1;4;2;3;2;4;4;4;3;2;4;4;2;2;4;4;4;2;3;4;2;1;12;4;2;2;2;2;5;1;2;1;5;3;2;2;2;4;4;2;2,25;3,6;2,22222222222222;3,55555555555556;3,375
250;31;3;-99;4;1;9;2;2;4;4;5;4;4;4;1;5;1;2;2;4;4;2;4;5;5;5;4;2;4;2;4;2;2;2;4;5;4;4;2;2;3;2;2;2;4;5;1;4;5;5;1;12;6;4;2;2;5;4;1;2;2;4;4;2;4;3;4;5;1;1,875;4,6;2;3,77777777777778;4,25
251;26;3;-99;4;1;8;4;4;5;2;4;4;4;4;4;5;2;1;4;4;4;2;2;1;4;5;4;4;4;4;4;4;2;2;4;5;4;4;4;4;2;2;2;2;4;4;2;2;4;4;2;-77;-77;2;2;2;2;5;5;2;2;2;4;2;2;4;4;4;2;2,5;4,3;3,11111111111111;3,44444444444444;3
252;28;1;-99;2;1;0;3;4;5;5;5;3;4;2;3;5;1;1;2;4;5;4;2;2;4;5;4;2;5;2;5;2;4;1;4;2;4;1;4;2;1;2;5;2;2;5;2;5;5;2;1;13;6;2;3;4;3;5;4;2;1;4;2;2;4;5;1;4;1;2,375;4,3;2,66666666666667;2,66666666666667;3,75
253;29;2;-99;4;1;0;4;1;4;2;3;2;4;4;4;5;1;2;4;4;4;3;5;5;2;4;2;5;4;3;3;3;2;4;2;3;2;5;3;5;4;4;2;5;2;4;3;4;3;3;1;15;1;5;4;2;2;4;1;4;2;3;4;4;1;2;4;3;3;3,375;3,4;3,11111111111111;4,44444444444444;2,25
254;45;1;-99;2;7;4;5;4;4;2;4;2;4;2;2;4;3;4;4;4;4;2;2;4;4;4;1;1;4;2;4;3;4;2;4;2;4;4;4;1;2;2;4;2;3;5;4;4;4;2;1;16;2;2;4;4;4;2;2;5;2;4;2;2;5;4;2;2;2;3,25;3,5;2,88888888888889;2,55555555555556;3,75
256;43;1;-99;4;3;7;4;2;4;1;4;2;4;4;4;4;4;2;5;4;4;4;4;2;2;5;2;5;4;5;4;4;2;4;5;5;4;4;4;4;2;5;3;4;2;5;2;5;3;4;1;10;2;4;4;2;2;4;4;4;2;1;4;2;2;4;3;4;3;3,875;4,3;3,55555555555556;4,11111111111111;2,375
257;30;2;-99;4;1;8;5;2;5;4;3;1;3;3;4;5;4;4;5;3;2;4;2;1;4;4;1;5;3;3;3;4;4;5;4;5;2;4;5;3;4;5;4;5;2;4;2;4;3;4;1;12;1;4;5;3;2;2;5;5;3;3;2;4;3;2;2;4;3;4,5;3,6;4,33333333333333;3,11111111111111;3,125
259;28;2;-99;4;1;8;4;3;5;2;4;4;4;1;4;5;1;1;5;2;4;3;4;2;5;5;5;3;5;4;3;2;4;4;3;4;4;4;3;4;4;3;2;5;4;5;5;3;3;5;2;-77;-77;3;2;5;2;5;4;1;1;2;2;2;2;2;4;1;3;2,25;3,8;3,88888888888889;3,55555555555556;2,75
260;20;1;-99;2;1;0;5;5;3;5;4;2;4;4;1;4;3;1;4;5;3;4;4;5;5;5;4;1;5;1;4;4;1;3;5;4;4;3;2;1;4;3;1;3;5;4;5;5;5;3;1;9;2;1;4;2;5;5;1;2;1;5;5;2;5;2;5;1;1;3,375;3,4;2,22222222222222;3,66666666666667;5
261;27;3;-99;2;1;7;4;3;5;4;5;2;3;3;4;5;3;2;4;4;3;4;4;3;4;5;2;3;4;2;4;4;3;5;4;4;3;3;4;3;2;4;3;3;3;3;1;3;4;2;1;14;1;3;4;3;2;4;3;4;2;4;3;3;3;4;3;5;2;3,75;4;3,44444444444444;3,22222222222222;3,5
263;33;2;-99;6;1;4;4;3;4;4;4;3;5;1;2;5;5;2;5;3;4;4;5;1;5;5;2;4;2;2;4;4;4;5;4;4;4;3;5;2;2;5;4;5;4;4;4;4;4;2;1;10;2;3;3;5;4;4;5;4;4;4;2;2;4;4;2;2;2;3,875;3,8;4,44444444444444;3,55555555555556;4
264;18;2;-99;2;1;6;4;4;4;5;5;3;2;5;1;4;1;3;5;5;4;4;2;5;5;5;5;2;3;1;4;3;4;2;4;5;4;2;4;4;2;2;5;3;5;5;1;2;5;5;1;15;5;2;3;1;5;3;1;1;3;5;2;2;2;4;1;5;1;2,5;4,6;2,66666666666667;2;4,5
267;19;2;-99;2;7;0;5;3;5;5;5;1;5;4;2;5;5;2;4;3;4;5;2;3;5;5;4;5;4;1;4;4;2;2;5;5;4;5;5;2;5;5;3;4;5;4;3;4;4;4;1;3;5;3;5;2;4;4;3;2;2;5;4;2;4;1;3;3;2;4,125;4;3,22222222222222;3,88888888888889;4,5
268;31;1;-99;4;2;10;4;4;4;1;4;2;4;2;3;5;4;1;5;4;4;4;3;2;2;4;3;4;4;3;4;4;4;4;5;4;4;5;4;4;4;3;2;3;2;4;2;4;5;2;1;10;5;2;4;4;3;5;4;3;2;3;2;2;2;2;4;4;1;3,5;3,7;3,44444444444444;3,66666666666667;2,75
269;39;1;-99;2;1;8;4;2;5;1;4;3;4;4;4;5;4;1;5;4;4;5;5;4;3;5;2;4;3;3;4;4;3;4;4;5;4;5;4;2;4;2;1;4;4;5;1;4;4;3;1;11;3;4;3;2;2;5;2;4;3;3;3;2;4;2;5;5;2;3,5;4,2;3,44444444444444;4,33333333333333;3,125
271;30;1;-99;4;3;0;2;2;4;2;4;4;4;3;5;5;4;1;5;2;4;2;5;3;1;5;5;4;4;4;4;1;3;4;2;4;4;5;4;5;2;2;3;4;3;5;1;5;3;4;1;12;1;4;2;3;1;5;3;1;2;2;3;2;1;4;3;5;3;2;4,4;3,55555555555556;4,22222222222222;1,75
274;34;1;-99;6;3;9;4;2;5;3;3;3;5;4;5;5;4;1;5;2;3;4;5;4;2;3;2;4;4;5;3;4;1;4;2;5;2;5;5;4;2;5;2;2;2;4;2;3;5;5;2;-77;-77;4;3;2;1;5;2;4;2;1;5;4;2;4;4;4;1;4;3,9;3,11111111111111;4,44444444444444;1,875
275;42;1;-99;5;3;8;5;1;4;1;4;2;4;4;4;2;4;1;5;2;3;4;4;4;2;5;1;5;4;5;4;4;2;2;3;4;2;5;4;4;2;4;2;4;2;5;3;5;2;4;1;12;4;5;4;2;2;5;2;5;2;1;4;4;2;4;4;3;4;4,25;3,8;3,22222222222222;4,55555555555556;1,875
276;27;2;-99;4;7;8;5;3;5;5;4;4;5;1;2;4;4;3;4;4;5;4;3;4;5;5;3;4;4;2;3;4;2;4;4;5;4;5;5;4;1;4;2;3;5;4;5;5;5;5;1;14;1;3;2;5;4;3;2;3;2;4;4;2;2;5;4;1;1;3,5;4,1;3,44444444444444;4;4,125
280;43;1;-99;5;3;7;4;4;4;4;4;4;3;2;3;3;2;1;5;4;4;2;5;4;4;5;4;2;5;2;3;4;4;3;4;5;4;4;3;4;4;4;2;5;4;5;2;5;2;3;1;10;5;2;2;4;3;5;2;2;1;4;2;2;2;2;4;4;4;2,75;3,8;3,44444444444444;3,55555555555556;3,625
281;43;1;-99;4;3;4;2;3;4;4;3;4;3;3;2;3;2;2;4;3;3;2;3;3;4;3;4;2;4;2;3;2;3;3;4;4;4;3;4;3;3;2;3;4;4;3;3;4;3;2;1;10;1;3;2;3;4;4;3;2;2;4;3;2;3;3;3;3;3;2;3;3,33333333333333;3,11111111111111;3,75
282;26;1;-99;5;7;9;3;4;4;4;4;5;5;4;3;5;2;4;5;5;5;3;2;5;5;5;5;3;1;4;4;5;5;5;4;4;5;3;5;5;1;2;4;4;4;5;3;3;3;2;1;14;6;2;1;2;3;2;1;1;5;2;1;1;1;5;2;3;3;2,25;4,2;3,77777777777778;2,55555555555556;3,5
284;23;1;-99;2;1;0;3;5;4;5;4;5;4;2;1;5;2;1;2;4;5;3;3;1;5;5;4;4;3;1;4;2;4;4;5;5;5;4;4;2;5;2;5;5;3;5;1;1;5;5;1;10;2;1;1;4;5;5;5;2;3;5;2;1;4;1;1;5;1;2;4,4;3,55555555555556;2,77777777777778;4,5
328;36;1;-99;4;1;8;5;5;5;3;5;2;3;1;1;5;1;1;4;5;5;5;2;1;3;5;3;3;1;2;4;3;2;2;4;5;5;2;3;4;1;2;4;3;2;5;1;3;4;5;1;12;2;1;4;5;5;5;5;3;5;4;4;1;2;5;2;5;2;3;4,9;3,77777777777778;2,77777777777778;3,5
285;25;1;-99;4;1;9;4;4;5;3;5;5;5;4;3;5;3;1;4;2;5;2;2;5;5;5;4;4;5;2;4;2;3;5;5;5;4;5;4;4;3;2;1;3;5;5;1;3;4;5;2;-77;-77;2;1;2;3;5;1;2;1;4;3;2;2;3;5;5;2;2,25;4,7;3;3,77777777777778;3,625
287;44;1;-99;3;3;6;4;3;5;1;4;4;4;2;4;5;3;2;5;4;5;4;5;1;2;5;4;2;5;5;3;4;4;2;3;2;4;4;2;5;4;2;3;2;4;3;4;4;5;2;1;10;4;3;2;4;2;4;5;2;1;1;2;2;1;2;3;2;1;2,875;3,3;3;3,44444444444444;2,25
288;22;2;-99;2;7;6;4;4;4;3;5;2;4;2;2;5;4;1;4;4;4;5;3;5;5;5;4;5;4;2;5;3;1;2;4;5;4;5;3;2;4;4;1;4;5;5;2;5;4;5;1;10;3;2;4;4;4;5;1;2;2;4;5;2;4;2;5;4;2;3,5;4,5;2,88888888888889;4,33333333333333;4,125
289;43;2;-99;4;3;3;4;3;3;3;3;4;4;2;1;2;1;2;3;4;3;2;4;2;5;3;3;4;4;2;2;3;3;3;4;3;2;3;3;4;4;3;2;4;3;4;3;2;3;2;1;12;5;3;2;4;5;4;4;3;2;4;3;4;2;2;4;3;3;2,75;2,7;3,22222222222222;3,44444444444444;3,75
