lfdn;age;sex;v_3;education;relation;kldb;e1;a1r;c1;n1;o1;e2r;a2;c2r;n2r;o2;e3;a3r;c3;n3;o3;e4;a4;c4r;n4;o4;e5r;a5;c5r;n5r;o5;e6;a6r;c6;n6;o6;e7r;a7;c7;n7r;o7r;e8;a8r;c8;n8;o8;o9r;a9;c9r;o10;status;charisma;classes;a1;e2;c2;n2;a3;c4;e5;c5;n5;a6;e7;n7;o7;a8;o9;c9;extr_mean;open_mean;con_mean;agree_mean;neuro_mean
22;23;1;-99;3;1;3;5;4;3;2;2;3;4;3;4;4;3;3;4;3;2;3;5;5;5;4;2;5;5;3;3;3;3;2;4;4;4;4;4;3;2;3;3;4;2;5;3;4;5;2;1;11;1;2;3;3;2;3;1;4;1;3;3;2;3;4;3;3;1;3,25;3,3;2,55555555555556;3,66666666666667;3
24;36;1;-99;4;1;8;3;5;3;5;4;4;3;4;5;2;2;1;4;2;4;1;4;3;5;4;4;4;3;4;2;1;5;3;1;4;4;4;2;4;3;2;4;4;2;2;2;2;2;2;1;12;3;1;2;2;1;5;3;2;3;2;1;2;2;3;2;4;4;1,875;3,1;3,11111111111111;2,88888888888889;2,5
25;28;1;-99;5;1;10;4;2;4;1;4;3;4;5;5;4;4;1;4;4;3;4;4;3;1;5;4;4;4;5;4;4;3;3;2;3;2;4;4;5;4;2;2;3;1;4;2;4;4;1;1;17;5;4;3;1;1;5;3;2;2;1;3;4;1;2;4;4;2;3,375;3,4;2,88888888888889;4;1,5
26;36;2;-99;5;1;9;5;2;2;1;4;1;2;2;5;5;3;3;3;4;3;5;4;4;2;5;1;4;4;4;4;5;2;4;4;5;2;4;5;4;1;5;4;5;2;5;4;5;5;4;1;12;5;4;5;4;1;3;2;5;2;2;4;4;2;5;2;2;1;4,625;4,2;3,11111111111111;3,55555555555556;2,25
32;29;1;-99;4;7;8;5;2;5;3;4;3;4;2;5;4;4;1;5;4;2;4;5;1;4;5;4;3;2;4;3;5;2;3;4;3;4;5;4;4;1;0;4;5;2;5;4;5;2;3;1;5;4;4;3;4;1;5;5;2;4;2;4;2;2;5;2;2;4;3,125;3,6;4,33333333333333;4,11111111111111;2,75
29;27;2;-99;2;1;4;5;2;4;1;5;3;5;5;4;5;4;2;3;4;4;4;5;5;4;5;3;4;4;2;4;2;1;3;4;5;5;4;3;3;5;3;4;3;4;5;2;4;5;4;1;15;2;4;3;1;2;4;1;3;2;4;5;1;3;1;2;4;1;3,125;4,2;2,33333333333333;4,11111111111111;3,25
30;19;2;-99;2;1;6;4;3;5;1;4;3;5;1;2;4;3;1;5;4;4;4;4;1;3;4;3;4;3;2;4;4;1;4;4;5;5;5;5;2;5;4;2;4;5;5;4;5;3;4;2;-77;-77;3;3;5;4;5;5;3;3;4;5;1;4;1;4;2;3;3,25;3,7;4,33333333333333;4,44444444444444;3,625
31;37;1;-99;3;1;9;5;4;4;2;4;1;4;2;4;5;4;5;4;3;4;5;3;5;2;5;1;4;5;3;4;5;3;5;5;5;4;3;3;4;1;5;5;4;2;5;1;4;4;5;1;12;5;2;5;4;2;1;1;5;1;3;3;2;2;5;1;5;2;4,5;4,7;3,11111111111111;2,77777777777778;2,625
33;25;2;-99;2;7;9;1;2;4;5;4;5;3;1;2;4;2;1;4;4;4;4;4;5;4;5;5;4;5;3;4;4;5;4;4;5;5;3;3;2;2;1;1;3;4;4;5;3;4;5;1;2;3;4;1;5;4;5;1;1;1;3;1;1;4;4;5;1;2;1,875;4;3;3,55555555555556;4
34;19;2;-99;3;1;0;1;4;4;3;4;4;3;4;3;3;1;1;4;3;3;1;2;2;3;4;5;3;4;2;4;3;3;4;4;4;5;4;4;4;3;2;3;4;4;3;2;3;5;3;2;-77;-77;2;2;2;3;5;4;1;2;4;3;1;2;3;3;4;1;1,5;3,5;3,22222222222222;3,11111111111111;3,25
35;20;1;-99;2;1;4;1;4;5;5;4;5;5;5;5;5;1;1;4;4;1;2;4;2;3;4;5;2;4;5;4;2;1;4;1;4;4;5;5;4;1;1;4;5;4;5;4;1;4;4;1;4;5;2;1;1;1;5;4;1;2;1;5;2;2;5;2;2;2;1,375;3,8;3,55555555555556;3,44444444444444;2,625
36;27;1;-99;3;1;0;3;4;3;0;3;5;4;2;2;4;3;3;4;4;4;5;3;3;5;4;5;5;3;3;4;4;5;5;4;4;5;5;5;4;4;2;2;4;4;3;4;4;3;4;2;-77;-77;2;1;4;4;3;3;1;3;3;1;1;2;2;4;2;3;2,5;3,4;3,77777777777778;3,44444444444444;3,25
